word,ipa_toned,clean_text,category,audio_path,duration
akaara-kahera,akaːɾa-kahéɾa,toe or inger,small_thing,akaara-kahera.wav,0
akaari,akáːɾi,ululation,small_thing,akaari.wav,0
akaaro,akáːɾo,obwaro,small_thing,akaaro.wav,0
akaatika,akaːtíka,small crack,small_thing,akaatika.wav,0
akaaya,akáːya,obubaaho .  small piece of timber,small_thing,akaaya.wav,0
akabaare,akaβáːɾe,blackstone,small_thing,akabaare.wav,0
akababa-bahiigi,akaβaβa-βahíːgi,a small caterpillar,small_thing,akababa-bahiigi.wav,0
akababagazi,akaβaβagázi,initial stage of flowering. Peas have reached the flowering stage,small_thing,akababagazi.wav,0
akabanda,akaβánda,obubanda,small_thing,akabanda.wav,0
akabi,akáβi,danger or trouble,small_thing,akabi.wav,0
akabindi,akaβíndi,nose of a buffalo or hyena,small_thing,akabindi.wav,0
akabindirano,akaβindiɾáno,unditional excessive love,small_thing,akabindirano.wav,0
akabogye,akaβóɟe,sitting sideways with legs tucked inward. The man is seated with his legs tucked inward,small_thing,akabogye.wav,0
akabonero,akaβonéɾo, a sign,small_thing,akabonero.wav,0
akabubi,akaβúβi,hymen,small_thing,akabubi.wav,0
akabumbuzo,akaβumβúzo,calm place,small_thing,akabumbuzo.wav,0
akaburyo,akaβúɾyo,hillock,small_thing,akaburyo.wav,0
akabuuza,akaβúːza,obubuuza,small_thing,akabuuza.wav,0
akaca,akáca,sparrow-hawk. A sparrow-hawk has taken a chick,small_thing,akaca.wav,0
akacabari,akacaβáɾi,the act of stroking the clitoris during sexual intercourse,small_thing,akacabari.wav,0
akacancabari,akacancaβáɾi,obucancabari,small_thing,akacancabari.wav,0
akacebe,akacéβe,obucebe,small_thing,akacebe.wav,0
akaceceko,akacecéko,silence,small_thing,akaceceko.wav,0
akacencuzo,akacencúzo,a sieve,small_thing,akacencuzo.wav,0
akaceremete,akaceɾeméte,a person who is thin and short,small_thing,akaceremete.wav,0
akacookore,akacoːkóɾe,blemish,small_thing,akacookore.wav,0
akacookorekane,akacoːkoɾekáne,detail,small_thing,akacookorekane.wav,0
akacuju,akacúju,obucuju,small_thing,akacuju.wav,0
akacumu,akacúmu,pen,small_thing,akacumu.wav,0
akacurama,akacuɾáma,bat,small_thing,akacurama.wav,0
akacwabazaire,akacwaβazaíɾe,millipede,small_thing,akacwabazaire.wav,0
akacwa-mburara,akacwa-mβuɾáɾa,a type of snake,small_thing,akacwa-mburara.wav,0
akacwankoni,akacwankóni,a noctunal bird that whistles,small_thing,akacwankoni.wav,0
akacwano,akacwáno,something done excessively. They love each other so much,small_thing,akacwano.wav,0
akadeeya,akadéːya,otudeeya,small_thing,akadeeya.wav,0
akadobo,akadóβo,obudobo,small_thing,akadobo.wav,0
akaduukuru,akaduːkúɾu,cell,small_thing,akaduukuru.wav,0
akafuba,akafúβa,akafubire1 n. pornography,small_thing,akafuba.wav,0
akafunzi,akafúnzi,fire-finch,small_thing,akafunzi.wav,0
akagarani,akagaɾáni,made of a tin plate or aluminium,small_thing,akagarani.wav,0
akagiigya,akagíːɟa,a certain type of grass normally planted in the compound,small_thing,akagiigya.wav,0
akagiiko,akagíːko,tea spoon,small_thing,akagiiko.wav,0
akagirita,akagiɾíta,razor blade,small_thing,akagirita.wav,0
akagombambure,akagomβamβúɾe,ankle,small_thing,akagombambure.wav,0
akagoroda,akagoɾóda,bungle,small_thing,akagoroda.wav,0
akagwe,akágwe,calamity,small_thing,akagwe.wav,0
akagyega,akaɟéga,used for shopping,small_thing,akagyega.wav,0
akagyegyena,akaɟeɟéna,obugyegyenda,small_thing,akagyegyena.wav,0
akagyenda-kahiire,akaɟenda-kahíːɾe,a brownish grasshopper. I have gathered many grasshoppers but there is only one brownish grasshopper,small_thing,akagyenda-kahiire.wav,0
akagyogo,akaɟógo,a small bottle of 250ml used for measuring spirits,small_thing,akagyogo.wav,0
akahararo,akahaɾáɾo,infatuation,small_thing,akahararo.wav,0
akahatano,akahatáno,competetion for something. Yesterday there was a motor rally. akaheehe1 n. excitement,small_thing,akahatano.wav,0
akahimba,akahímβa,clitoris,small_thing,akahimba.wav,0
akaho,akáho,an eye disease that causes temporaryloss of sight temporarily. akahoiho1 n. a small moth. A small moth has fallen in the milk. akahoiho2 n,small_thing,akaho.wav,0
akahugye,akahúɟe,"what something means, etc.  mental disorder. A child was born with a mental disorder",small_thing,akahugye.wav,0
akahumbi,akahúmβi,"000,000. akahuna1 n. a state of confusio n. The woman was in a state of confusion after stealing her bag. akahuna2 n. a game played by children where one taps another and the tapped child runs after the other to tap him or her also. akahundu akamwenyo 4",small_thing,akahumbi.wav,0
akahundu,akahúndu,obuhundu,small_thing,akahundu.wav,0
akahungabeebe,akahuŋaβéːβe,a small flying termite,small_thing,akahungabeebe.wav,0
akahuumuro,akahuːmúɾo,a short break from daily routine,small_thing,akahuumuro.wav,0
akahwihwi,akahwíhwi,otuhwihwi,small_thing,akahwihwi.wav,0
akaiba,akaíβa,otwiba,small_thing,akaiba.wav,0
akaibo,akaíβo,otwibo,small_thing,akaibo.wav,0
akaimukiriro,akaimukiɾíɾo,uprai,small_thing,akaimukiriro.wav,0
akainiko,akainíko,the act of helping someone to complete the task,small_thing,akainiko.wav,0
akaishebakami,akaiʃeβakámi,space between the leg and the udder in a cow,small_thing,akaishebakami.wav,0
akaitanda,akaitánda,a tiny snake-like lizard with a very smooth skin and normally found in dry grass,small_thing,akaitanda.wav,0
akaitanyenje,akaitaɲénje,insect repellant,small_thing,akaitanyenje.wav,0
akajagiro,akajagíɾo,market,small_thing,akajagiro.wav,0
akajoina,akajoína,otujoina,small_thing,akajoina.wav,0
akajoogo,akajóːgo,contempt,small_thing,akajoogo.wav,0
akajugo,akajúgo,a pen cover,small_thing,akajugo.wav,0
akajuma,akajúma,tablet,small_thing,akajuma.wav,0
akajunde,akajúnde,stench,small_thing,akajunde.wav,0
akakaikuru,akakaikúɾu,one million. I bought land at one million shillings,small_thing,akakaikuru.wav,0
akakiiko,akakíːko,committee or subcommittee,small_thing,akakiiko.wav,0
akakiro,akakíɾo,a small hillock. It is tiresome to climb a hillock,small_thing,akakiro.wav,0
akakoki,akakóki,a small water course or a gulley,small_thing,akakoki.wav,0
akakoma,akakóma,a rubber or plastic bracelet. The girl is putting on a rubber or plastic bracelet on her arm,small_thing,akakoma.wav,0
akakondo,akakóndo,virus,small_thing,akakondo.wav,0
akakwate,akakwáte,relationship,small_thing,akakwate.wav,0
akakyencuzo,akacencúzo,sieve,small_thing,akakyencuzo.wav,0
akakyenkye,akacénce,seed-tray musical instrumental,small_thing,akakyenkye.wav,0
akame,akáme,"long ears, and a short tail which is kept by people as a pet or for food",small_thing,akame.wav,0
akameshu,akaméʃu,otumeshu,small_thing,akameshu.wav,0
akamoori,akamóːɾi,which allows air in and out of the house. There is a ventilator above the window,small_thing,akamoori.wav,0
akamwenyo,akamwéɲo,there was a smile on his face. akanaara akanywanisa,small_thing,akamwenyo.wav,0
akanaara,akanáːɾa,booster,small_thing,akanaara.wav,0
akanga-kaizi,akaŋa-kaízi,just in between. He had no specific place,small_thing,akanga-kaizi.wav,0
akangara-teete,akaŋaɾa-téːte,living under harsh conditions,small_thing,akangara-teete.wav,0
akangari,akaŋáɾi,plenty,small_thing,akangari.wav,0
akanono,akanóno,they started from the top most part,small_thing,akanono.wav,0
akanuriirizi,akanuɾiːɾízi,sweet taste. The sweet taste in a sweet makes children like it,small_thing,akanuriirizi.wav,0
akanwa,akánwa,mouth,small_thing,akanwa.wav,0
akanyaiganja,akaɲaigánja,"lion, dog, leopard, e.t.c",small_thing,akanyaiganja.wav,0
akanyamakaakya,akaɲamakáːca,one of the plants from whose stems a walking stick is made,small_thing,akanyamakaakya.wav,0
akanyampagara,akaɲampagáɾa,poor quality bunch of banana. Poor farming methods lead to poor quality bananas,small_thing,akanyampagara.wav,0
akanyampatiira,akaɲampatíːɾa,state of being over crowded. I failed to see the president due to the presence of very many people,small_thing,akanyampatiira.wav,0
akanyampira,akaɲampíɾa,a small insect that stings the eye when it falls there,small_thing,akanyampira.wav,0
akanyampiringita,akaɲampiɾiŋíta,something shorter or smaller than others of the same type. A woman gave birth to short dwarf children,small_thing,akanyampiringita.wav,0
akanyamuhebe,akaɲamuhéβe,a small black and white bird with a long tail,small_thing,akanyamuhebe.wav,0
akanyamukara,akaɲamukáɾa,nut grass. akanyamukira1 n. dung maggot. akanyamukira2 n. tad pole,small_thing,akanyamukara.wav,0
akanyamuniini,akaɲamuníːni,a fresh fried grasshopper,small_thing,akanyamuniini.wav,0
akanyamuntinda,akaɲamuntínda,small snail,small_thing,akanyamuntinda.wav,0
akanyamurera,akaɲamuɾéɾa,flute,small_thing,akanyamurera.wav,0
akanyamwenyi,akaɲamwéɲi,squirrel,small_thing,akanyamwenyi.wav,0
akanyancooni,akaɲancóːni,an undeveloped banana,small_thing,akanyancooni.wav,0
akanyangarara,akaɲaŋaɾáɾa,"pot, calabash that lifespan is rendered uncertain. Do not put water into the cracked calabash",small_thing,akanyangarara.wav,0
akanyankogote,akaɲankogóte,tortoise,small_thing,akanyankogote.wav,0
akanyantebo,akaɲantéβo,hitting someone with a kick,small_thing,akanyantebo.wav,0
akanyarugondo,akaɲaɾugóndo,coasts or sand mines,small_thing,akanyarugondo.wav,0
akanyarukira,akaɲaɾukíɾa,a black and white bird with a long tail,small_thing,akanyarukira.wav,0
akanyarutookye,akaɲaɾutóːce,lourie,small_thing,akanyarutookye.wav,0
akanyiriri,akaɲiɾíɾi, verse or line,small_thing,akanyiriri.wav,0
akanyitsi,akaɲítsi,it still has value,small_thing,akanyitsi.wav,0
akanyoga,akaɲóga,a banana in its early stages of development,small_thing,akanyoga.wav,0
akanyomo,akaɲómo,a feeling of uncertainty. displeasure,small_thing,akanyomo.wav,0
akanyongotoko,akaɲoŋotóko,they are not tasty,small_thing,akanyongotoko.wav,0
akanyoomo,akaɲóːmo,contempt,small_thing,akanyoomo.wav,0
akanyoomoozano,akaɲoːmoːzáno,continuous disturbance or provocation,small_thing,akanyoomoozano.wav,0
akanyororo,akaɲoɾóɾo,thin and slender person,small_thing,akanyororo.wav,0
akanyuunya,akaɲúːɲa,a type of grasshoppers which are not edible. The non edible grass hoppers cure bed wetting,small_thing,akanyuunya.wav,0
akanyuunyambuzi,akaɲuːɲamβúzi,a type of weed eaten by goats,small_thing,akanyuunyambuzi.wav,0
akanyuunyarume,akaɲuːɲaɾúme,shrub eaten by goats,small_thing,akanyuunyarume.wav,0
akanywanisa,akaɲwanísa,(grammar),small_thing,akanywanisa.wav,0
akanywero,akaɲwéɾo,a very tight cloth. He is putting on tight trousers,small_thing,akanywero.wav,0
akapampari,akapampáɾi,"e.g. football, netball, volleyball, basketball when refered to endearingly",small_thing,akapampari.wav,0
akapimpiri,akapimpíɾi,otupimpiri. akaraba mw'ishengyero phr. unintended interruption in a group,small_thing,akapimpiri.wav,0
akaradaari,akaɾadáːɾi,mustard seed,small_thing,akaradaari.wav,0
akaragarika,akaɾagaɾíka,etc. Bread crumbs. akaragariso1 n. a broom used to clean a baking pot. akaragariso2 n. a wiper. She uses a handkerchief to wipe her feet,small_thing,akaragarika.wav,0
akaragwa,akaɾágwa,inherited trait,small_thing,akaragwa.wav,0
akaramata,akaɾamáta,goose grass,small_thing,akaramata.wav,0
akaranda-rugo,akaɾanda-ɾúgo,a climbing plant that grows on fences. This climbing plant has over grown it needs trimming,small_thing,akaranda-rugo.wav,0
akarande,akaɾánde,inherited character or trait,small_thing,akarande.wav,0
akarangizo,akaɾaŋízo,a raised place from where one can view a surounding area. Makanga is a good view of Kabale town,small_thing,akarangizo.wav,0
akarebure,akaɾeβúɾe,a slunderous utterance,small_thing,akarebure.wav,0
akareega,akaɾéːga, bra,small_thing,akareega.wav,0
akareesu,akaɾéːsu,oturegyeya.  a hanging flap of a skin on an animal's neck. akaregyeya2 n. dewlap,small_thing,akareesu.wav,0
akareka,akaɾéka,he will get impaired speech,small_thing,akareka.wav,0
akarenga-bazaana,akaɾeŋa-βazáːna,dusk,small_thing,akarenga-bazaana.wav,0
akarengo,akaɾéŋo,a small measurement especially of grain or fruits,small_thing,akarengo.wav,0
akarengutuko,akaɾeŋutúko,a steep slope,small_thing,akarengutuko.wav,0
akarenzyo,akaɾénzyo,sarcasm. You have a sarcastic tongue,small_thing,akarenzyo.wav,0
akari,akáɾi,lust for sex,small_thing,akari.wav,0
akaribareeta,akaɾiβaɾéːta,bampa akaribareeta,small_thing,akaribareeta.wav,0
akarigime,akaɾigíme, having bad company.  immorality caused by peer pressure,small_thing,akarigime.wav,0
akarigito,akaɾigíto,AKAHEEHE,small_thing,akarigito.wav,0
akariibe,akaɾíːβe,"forgetting that he had to do other chores. akariigobe2 adv. kind of whistling where lips are pressed between hands, and the breath forced through fingers to emit sound",small_thing,akariibe.wav,0
akariinyiriro,akaɾiːɲiɾíɾo,pathway for riding or sliding especially using wooden or banana trees,small_thing,akariinyiriro.wav,0
akariinyiro,akaɾiːɲíɾo,e.g. sweet-talking or lying. Your akarimi akatsintsimuko,small_thing,akariinyiro.wav,0
akarogoijo,akaɾogoíjo,anxiety,small_thing,akarogoijo.wav,0
akarondo,akaɾóndo,lineage. A man traced the lineage of their relationship,small_thing,akarondo.wav,0
akarongyero,akaɾoŋyéɾo,a hole on the side of a pit where they smoke bananas to ripen. My bananas have not ripened because I did not put a hole hole next to the pit,small_thing,akarongyero.wav,0
akarooro,akaɾóːɾo,a wingless insect found on hens,small_thing,akarooro.wav,0
akarugu,akaɾúgu,one of the corners of the house,small_thing,akarugu.wav,0
akarundirundi,akaɾundiɾúndi,a rod of a bicycle that holds a pedal. The boy pushed the bicycle because it did not have a pedal rod,small_thing,akarundirundi.wav,0
akarungi,akaɾúŋi,or beautiful. A beatiful village,small_thing,akarungi.wav,0
akaruuru,akaɾúːɾu, elections.  a vote,small_thing,akaruuru.wav,0
akarwariro,akaɾwaɾíɾo,a clinic. There is only one clinic in our villge,small_thing,akarwariro.wav,0
akasheeshe,akaʃéːʃe,the period from the day break up to around 11am,small_thing,akasheeshe.wav,0
akashorya,akaʃóɾya,otushorya,small_thing,akashorya.wav,0
akashutamo,akaʃutámo,a customs post,small_thing,akashutamo.wav,0
akashuumo,akaʃúːmo,a steep slope,small_thing,akashuumo.wav,0
akasikina,akasikína,hiccup,small_thing,akasikina.wav,0
akasooroora,akasoːɾóːɾa,strong wind which moves in circular motion when there is an imbalace in the atmospheric pressure,small_thing,akasooroora.wav,0
akataahira,akataːhíɾa,a young jigger that has just entered a person's body. The young jigger which entered his foot is paining him,small_thing,akataahira.wav,0
akatabarwa,akataβáɾwa,"000,000,000,000,000",small_thing,akatabarwa.wav,0
akatare,akatáɾe, market,small_thing,akatare.wav,0
akatembo,akatémβo,a steep hill or road,small_thing,akatembo.wav,0
akatiina-mugogo,akatiːna-mugógo,a squirrel,small_thing,akatiina-mugogo.wav,0
akatima,akatíma,valve for a tyre,small_thing,akatima.wav,0
akatima-kakye,akatima-káce,someone who may not be able to resist temptations can pick it,small_thing,akatima-kakye.wav,0
akatimba,akatímβa, wire mesh. The chicken's house was fenced with wire mesh.  materials made of strings or ropes woven into a loose pattern with spaces in it for usage in fishing. The fish is hurked by a net. 3) a material tha stops mosquitoes from entering a house or bed. 4) a wedding gown or dress,small_thing,akatimba.wav,0
akatindi,akatíndi,a small hut,small_thing,akatindi.wav,0
akatogo,akatógo,Abakiga hamwe n'Abanyankore,small_thing,akatogo.wav,0
akatoonyezo,akatoːɲézo,full stop or period,small_thing,akatoonyezo.wav,0
akatsintsimuko,akatsintsimúko,a sloppy place. akatsirimuko amahanga 8,small_thing,akatsintsimuko.wav,0
akatsirimuko,akatsiɾimúko,a gentle slope,small_thing,akatsirimuko.wav,0
akatuyo,akatúyo,stench,small_thing,akatuyo.wav,0
akaveera,akavéːɾa,otuveera,small_thing,akaveera.wav,0
akavugankande,akavugankánde,creeping plant,small_thing,akavugankande.wav,0
akavumba,akavúmβa,offals of a pig,small_thing,akavumba.wav,0
akavuruga,akavuɾúga,if not treated early results into a white spot in the eye,small_thing,akavuruga.wav,0
akayengo,akayéŋo,small basket,small_thing,akayengo.wav,0
akaze,akáze,habbit,small_thing,akaze.wav,0
akazoore,akazóːɾe,madness,small_thing,akazoore.wav,0
akeediimo,akeːdíːmo,abaana baakora akediimo kumara esande yoona,abstract,akeediimo.wav,0
akeerenguturo,akeːɾeŋutúɾo,emptying a container by gulbing its contents,abstract,akeerenguturo.wav,0
akooya,akóːya,the act of eating food when one has not done anything to deserve it. Today you have eaten but you did not contribute anything,abstract,akooya.wav,0
allah,állah,God in Islamic religion,abstract,allah.wav,0
amaani,amáːni,strength,abstract,amaani.wav,0
amaarwa,amáːɾwa,beer,abstract,amaarwa.wav,0
amabano,amaβáno,the end of the arrow used to put a wire or a coil,abstract,amabano.wav,0
amabara,amaβáɾa,spots of different colours. I am wearing a multi coloured shirt,abstract,amabara.wav,0
amabwabwa,amaβwáβwa,dog teats,abstract,amabwabwa.wav,0
amacanda,amacánda,sunflower,abstract,amacanda.wav,0
amacunda,amacúnda,milk that remains after ghee has been extracted,abstract,amacunda.wav,0
amacwante,amacwánte,saliva,abstract,amacwante.wav,0
amadaara,amadáːɾa, ladder.  staircase,abstract,amadaara.wav,0
amadaraka,amadaɾáka,being stylish,abstract,amadaraka.wav,0
amafa,amáfa,a period of severe famine. Drought left much famine in the village,abstract,amafa.wav,0
amafakubi,amafakúβi,faeces,abstract,amafakubi.wav,0
amafaranga,amafaɾáŋa,Rwandese currency,abstract,amafaranga.wav,0
amafura,amafúɾa,hospitable people,abstract,amafura.wav,0
amagana,amagána,usually more than one hundred. My father has four hundred goats,abstract,amagana.wav,0
amaganga,amagáŋa,cattle urine,abstract,amaganga.wav,0
amaganya,amagáɲa,disappointment or calamity,abstract,amaganya.wav,0
amagara,amagáɾa,grow new forms that distinguishes living animals and plants from dead ones and rocks,abstract,amagara.wav,0
amagarama,amagaɾáma,the stage in the growth of beans when it has about three leaves,abstract,amagarama.wav,0
amagezi,amagézi,understanding and skills that a person has acquired through experience or education. A baby has no knowledge of good and bad,abstract,amagezi.wav,0
amagingo,amagíŋo,barahi? Where are they at this time,abstract,amagingo.wav,0
amagoba,amagóβa,profits or interests,abstract,amagoba.wav,0
amagondo,amagóndo,spots. My spotted cow is lost,abstract,amagondo.wav,0
amagyani,amaɟáni,ground and put in hot water to be drunk as a beverage,abstract,amagyani.wav,0
amahaane,amaháːne,etc,abstract,amahaane.wav,0
amahame,amaháme,facts,abstract,amahame.wav,0
amahasha,amaháʃa,twins,abstract,amahasha.wav,0
amahaze,amaháze,abomination,abstract,amahaze.wav,0
amahega,amahéga,cooking stones,abstract,amahega.wav,0
amahembe,amahémβe,witcraft,abstract,amahembe.wav,0
amahenda,amahénda,millet,abstract,amahenda.wav,0
amahene,amahéne,an excuse used to deny somebody something,abstract,amahene.wav,0
amahenehene,amahenehéne,a disease that attacks ankle joints causing immobility,abstract,amahenehene.wav,0
amahenengye,amahenéŋye,fatigue or extreme tiredness caused by long distance travel,abstract,amahenengye.wav,0
amahiima,amahíːma,asthma,abstract,amahiima.wav,0
amahiirane,amahiːɾáne,it is likely that all of them will get burn because houses are close to one another,abstract,amahiirane.wav,0
amahiisa-nyungu,amahiːsa-ɲúŋu,a conversation meant to pass time,abstract,amahiisa-nyungu.wav,0
amahira,amahíɾa,pus,abstract,amahira.wav,0
amahiri,amahíɾi,stems that are thrown at things. I will throw stems at you when you keep on disturbing me,abstract,amahiri.wav,0
amahoro,amahóɾo,cold food,abstract,amahoro.wav,0
amahunde,amahúnde, crown,abstract,amahunde.wav,0
amahungu,amahúŋu,misery,abstract,amahungu.wav,0
amahurire,amahuɾíɾe, news.  newspaper,abstract,amahurire.wav,0
amahurunguru,amahuɾuŋúɾu,droppings,abstract,amahurunguru.wav,0
amaija,amaíja,advent,abstract,amaija.wav,0
amaijuza,amaijúza,pregnancy at nine months,abstract,amaijuza.wav,0
amaiko,amaíko,hatred,abstract,amaiko.wav,0
amaimante,amaimánte,water left after watering cattle. amaimante2 adv. refers to the way a man ties a piece of cloth around his waist when he wants to fight. amainamura1 n. something given to a person on his or her death bed. amainamura2 n. special water used by witchdoctors,abstract,amaimante.wav,0
amainaro,amaináɾo, bad omen.  bad luck. amairu1 n. greed,abstract,amainaro.wav,0
amairungi,amaiɾúŋi,khat,abstract,amairungi.wav,0
amaisho,amaíʃo,trachoma,abstract,amaisho.wav,0
amaizi,amaízi, water,abstract,amaizi.wav,0
amajugo,amajúgo,etc,abstract,amajugo.wav,0
amajuta,amajúta, vaseline,abstract,amajuta.wav,0
amakamo,amakámo,yorghut,abstract,amakamo.wav,0
amakanda,amakánda,firmness,abstract,amakanda.wav,0
amakankya,amakánca,gum,abstract,amakankya.wav,0
amakara,amakáɾa,especially for cooking,abstract,amakara.wav,0
amakarangira,amakaɾaŋíɾa,(always used with okurira amakarangira),abstract,amakarangira.wav,0
amakatyo,amakátyo,first leaves of beans,abstract,amakatyo.wav,0
amakire,amakíɾe,a disease believed to affect unborn babies when a pregnant woman has sexual intercourse with a man,abstract,amakire.wav,0
amakondere,amakondéɾe,insects with beautiful voices. amakoora1 n. fish scales. amakoora2 n,abstract,amakondere.wav,0
amakore,amakóɾe,a disease in cattle that attacks joints,abstract,amakore.wav,0
amakoryo,amakóɾyo,tender leaves of peas when they are cooked and eaten as source. amakumi1 n. a game played by bouncing a ball on the knee. amakumi2 n. herd,abstract,amakoryo.wav,0
amakune,amakúne,hospitality,abstract,amakune.wav,0
amakuru,amakúɾu,news,abstract,amakuru.wav,0
amakuuta,amakúːta,undiluted banana juice,abstract,amakuuta.wav,0
amakuute,amakúːte,neighbouring countries,abstract,amakuute.wav,0
amakwatane,amakwatáne, shared holdings.  communal property,abstract,amakwatane.wav,0
amakwenkwe,amakwénkwe,a hearty laugh,abstract,amakwenkwe.wav,0
amakyandara,amacandáɾa,sunflower,abstract,amakyandara.wav,0
amamburinga,amamβuɾíŋa,AMASHUYU. amamera1 n.. amamera2 n. germinated plants,abstract,amamburinga.wav,0
amamesha,amaméʃa,kind of ghee commonly used in Rwanda,abstract,amamesha.wav,0
amamya,amámya,germinated millet or sorghum used to sweeten porridge,abstract,amamya.wav,0
amanana,amanána,stiffness or aching of the limbs,abstract,amanana.wav,0
amanegye,amanéɟe,enclosed in a bag of skin behind and below the penis,abstract,amanegye.wav,0
amangigina,amaŋigína, sensitivity of teeth.  chilly feeling in gums (mouth or teeth) after eating raw fruits,abstract,amangigina.wav,0
amanure,amanúɾe,salty water,abstract,amanure.wav,0
amanyaanya,amaɲáːɲa,pelvic bones,abstract,amanyaanya.wav,0
amanzamba,amanzámβa,horns of a cow facing down,abstract,amanzamba.wav,0
amara,amáɾa,intestines,abstract,amara.wav,0
amaragane,amaɾagáne, time to say goodbye.  any word or phrase uttered to bid someone farewell,abstract,amaragane.wav,0
amaraka,amaɾáka, part of the body that connects the head and the shoulder.  sound made when speaking or singing. 3) musical tones. 4) throat,abstract,amaraka.wav,0
amaranga,amaɾáŋa,water that has been used for washing milk pots,abstract,amaranga.wav,0
amaranzi,amaɾánzi,rays of the sun,abstract,amaranzi.wav,0
amarari,amaɾáɾi,making each eye look in a different direction.  to be cross eyed,abstract,amarari.wav,0
amari,amáɾi,a pest that destroys plants,abstract,amari.wav,0
amaringa-ngingo,amaɾiŋa-ŋíŋo,sweating profusely,abstract,amaringa-ngingo.wav,0
amaringoringo,amaɾiŋoɾíŋo,acts or objects used to attract attension,abstract,amaringoringo.wav,0
amarira,amaɾíɾa,tears,abstract,amarira.wav,0
amaruhuura-ngingo,amaɾuhuːɾa-ŋíŋo,water;cold water,abstract,amaruhuura-ngingo.wav,0
amarwa,amáɾwa,a drink,abstract,amarwa.wav,0
amaryo,amáɾyo,pride,abstract,amaryo.wav,0
amasha,amáʃa,dung,abstract,amasha.wav,0
amashaaruura,amaʃaːɾúːɾa, harvest,abstract,amashaaruura.wav,0
amashambangira,amaʃamβaŋíɾa,frayed or shredded,abstract,amashambangira.wav,0
amashanyarazi,amaʃaɲaɾázi,electricity,abstract,amashanyarazi.wav,0
